query_name,article_title,article_body,entity_relevance
corcept therapeutics incorporated,"CLASS ACTION UPDATE for CORT, NIO, MBT and NOK: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders [African Manager (Tunisia)] | CLASS ACTION UPDATE for CORT, AVEO, DPLO and MBT: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders [Agence Maghreb Arabe Presse] | CLASS ACTION UPDATE for CORT, CVS, UMC and MBT: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders","(GlobeNewswire) - Levi & Korsinsky, LLP announces that class action lawsuits have commenced on behalf of shareholders of the following publicly-traded companies. Shareholders interested in serving as lead plaintiff have until the deadlines listed to petition the court and further details about the cases can be found at the links provided. There is no cost or obligation to you.
Corcept Therapeutics Incorporated (NASDAQCM: CORT)Class Period: August 2, 2017 - February 5, 2019Lead Plaintiff Deadline: May 13, 2019Join the action: https://www.zlk.com/pslra-1/corcept-therapeutics-incorporated-loss-form?wire=3
About the lawsuit: Throughout the class period, Corcept Therapeutics Incorporated allegedly made materially false and/or misleading statements and/or failed to disclose that: (1) the Company had improperly paid doctors to promote its drug Korlym; (2) the Company aggressively promoted Korlym for off-label uses; (3) the Companys sole specialty pharmacy was a related party; (4) the Company artificially inflated its revenue and sales using illicit sales practices through a related party; (5) such practices are reasonably likely to lead to regulatory scrutiny; and (6) as a result of the foregoing, Defendants positive statements about the Companys business, operations, and prospects were materially misleading and/or lacked a reasonable basis.
To learn more about the Corcept Therapeutics Incorporated class action contact jlevi@levikorsinsky.com.
NIO Inc. (NYSE: NIO)Class Period: Purchasers of American Depositary Shares between September 12, 2018 and March 5, 2019Lead Plaintiff Deadline: May 13, 2019Join the action: https://www.zlk.com/pslra-1/nio-inc-loss-form?wire=3
About the lawsuit: NIO Inc. allegedly made materially false and/or misleading statements during the class period and/or failed to disclose that: (1) NIO would not be building its own manufacturing plant and would instead continue to rely on JAC Auto to manufacture its vehicles; (2) reductions in government subsidies for electric cars would materially impact NIOs sales; and (3) as a result, Defendants statements about NIOs business, operations, and prospects were materially false and misleading at all relevant times.
To learn more about the NIO Inc. class action contact jlevi@levikorsinsky.com.
Mobile TeleSystems PJSC (NYSE: MBT)Class Period: March 19, 2014 - March 7, 2019Lead Plaintiff Deadline: May 20, 2019Join the action: https://www.zlk.com/pslra-1/mobile-telesystems-pjsc-loss-form?wire=3
About the lawsuit: Mobile TeleSystems PJSC allegedly made materially false and/or misleading statements and/or failed to disclose that: (1) MTS and its subsidiary were involved in a scheme to pay $420 million in bribes in Uzbekistan; (2) consequently, MTS knew or should have known it would be forced to pay substantial fines to the U.S. government after disclosing in 2014 that the U.S. Department of Justice and Securities and Exchange Commission were investigating its Uzbekistan operations; (3) MTS level of cooperation with the U.S. government and remediation was lacking; (4) due to the aforementioned misconduct, MTS would be forced to pay approximately $850 million in criminal penalties to the U.S. government; and (5) as a result, defendants public statements were materially false and/or misleading at all relevant times.
To learn more about the Mobile TeleSystems PJSC class action contact jlevi@levikorsinsky.com.
Nokia Corporation (NYSE: NOK)Class Period: April 15, 2015 - March 21, 2019Lead Plaintiff Deadline: June 19, 2019Join the action: https://www.zlk.com/pslra-1/nokia-corporation-loss-form?wire=3
About the lawsuit: Nokia Corporation allegedly made materially false and/or misleading statements during the class period and/or failed to disclose that: (i) Alcatel-Lucent S.A. (""Alcatel"") maintained insufficient internal controls and was materially non-compliant in its business practices; (ii) Nokia had failed to conduct adequate due diligence into Alcatel prior to its acquisition; (iii) subsequent to the completion of Nokias acquisition of Alcatel, the Company maintained insufficient internal controls over the integration of Alcatels businesses; (iv) as a result of the foregoing, at all relevant times, Nokia was at risk of serious criminal and civil penalties; and (v) as a result, the Companys public statements were materially false and misleading at all relevant times.
To learn more about the Nokia Corporation class action contact jlevi@levikorsinsky.com.
You have until the lead plaintiff deadlines to request the court appoint you as lead plaintiff. Your ability to share in any recovery doesnt require that you serve as a lead plaintiff.Levi & Korsinsky is a national firm with offices in New York, California, Connecticut, and Washington D.C. The firms attorneys have extensive expertise and experience representing investors in securities litigation and have recovered hundreds of millions of dollars for aggrieved shareholders. Attorney advertising. Prior results do not guarantee similar outcomes.CONTACT:Levi & Korsinsky, LLPJoseph E. Levi, Esq.55 Broadway, 10th FloorNew York, NY 10006jlevi@levikorsinsky.comTel: (212) 363-7500Toll Free: (877) 363-5972Fax: (212) 363-7171www.zlk.com",1
exide technologies s.r.l.,California Department of Toxic Substances Control Intervenes After Exide Fails to Fully Investigate Contamination,"SACRAMENTO, California, July 19 -- The California Department of Toxic Substances Control issued the following news release:
* * *
- DTSC will complete investigation detailing extent of contamination from former battery recycling facility as work continues on cleanup of lead-impacted properties
* * *
Citing persistent refusal by Exide Technologies to comply with its legal obligation to investigate the extent of contamination around its former battery recycling facility, the California Department of Toxic Substances Control today rejected Exide's Draft Residential RCRA Facility Investigation Report (RFI) and Residential Corrective Measures Study. DTSC also assessed penalties for violating administrative orders.
""Exide has a moral and legal responsibility to the children and families who live in the area affected by this contamination,"" DTSC Acting Director Meredith Williams said. ""Exide is once again trying to get out of performing its duty to investigate.""
In the report, Exide concluded, without support, that it is not responsible for the contamination in the residential areas surrounding its former lead-acid battery recycling facility in Vernon, California. Exide based its Residential Corrective Measures Study on its Draft Residential RFI Report, which DTSC rejected, and again concluded that it is not obligated to clean up any contamination in the residential areas. Exide attempted to rely on several unjustified assumptions to walk away from its legal obligations.
Since Exide's report fails to protect public health, safety and the environment, DTSC will now complete the investigation and modify the report. Exide will be responsible for DTSC's investigation and report modification costs.
""Exide has refused to conduct its investigation in accordance with California law, and has used flawed assumptions to justify walking away from this obligation,"" said Grant Cope, Acting Deputy Director of DTSC's Site Mitigation and Restoration Program. ""DTSC will complete an investigation that protects the health of the people who live and work near the facility.""
Exide's legal obligations to investigate the nature and extent of its contamination are set forth in the Corrective Action Consent Order entered into by Exide and DTSC in 2002 and a 2014 Stipulation and Order, as amended in 2015 and 2016.
DTSC found that Exide committed 24 violations of the orders, and DTSC assessed $240,000 in stipulated penalties against Exide for these violations. Because Exide's failure to investigate the extent of its contamination in the residential areas may also violate requirements of California's Hazardous Waste Control Law (HWCL), DTSC may seek additional penalties for these statutory violations. Each violation of the HWCL is subject to a maximum penalty of $70,000 per day.
DTSC has also asked the United States Attorney's Office to end its Non-Prosecution Agreement (NPA) with Exide. The NPA provided that if Exide complied with the material obligations of the agreement, including a requirement to comply with DTSC's orders, the U.S. Attorney's Office would not prosecute Exide or its agents for any alleged violation of federal criminal laws relating to the illegal storage, disposal, shipment, and transportation of hazardous waste related to its past operations at the Vernon facility. DTSC finds that the deficiencies of the RFI report, despite clear direction from DTSC, constitute a failure to meet the terms of DTSC's orders and are grounds for revocation of the NPA.
Links to Exide's Draft RFI Report, DTSC's response letters, and other background information:
* Exide's Draft Residential RCRA Facility Investigation Report (includes Report, DTSC Letters, NPA Termination request)
* Residential Corrective Measures Study (includes Report, DTSC Letter, NPA Termination request)
* 2002 Corrective Action Consent Order
* 2014 Stipulation and Order and Amendments
* Exide's Non-Prosecution Agreement with the United States Attorney's Office
Background
DTSC is cleaning up lead-contaminated soil at residential properties, schools, parks, day care centers, and child care facilities with the highest levels of lead in soil and the greatest risk of exposure within a 1.7-mile radius surrounding the former Exide Technologies, Inc., battery recycling facility in Vernon. DTSC's top priority is protecting the health and safety of people in the community, especially the youngest and most vulnerable.
As of July 12, 2019, 1,008 parcels, out of the 8,555 parcels that have allowed DTSC access to conduct soil sampling, have been cleaned.
The Exide Technologies facility at 2700 S. Indiana St. in Vernon recycled lead from used automotive batteries and other sources. The Vernon plant typically recycled about 11 million batteries annually. The facility closed in 2015.
For additional background please visit DTSC's Exide page at: https://dtsc.ca.gov/exide-home/.",1
air india limited,Deepak Talwar probe: ED attaches Rs 120-crore Aerocity hotel,"The Enforcement Directorate (ED) has provisionally attached the Holiday Inn hotel in Aerocity near the IGI Airport in Delhi in connection with its money laundering probe against corporate consultant Deepak Talwar.
The ED has alleged that Talwar received over Rs 272 crore as kickbacks for pushing several deals in the aviation sector in India. This money, the ED has claimed, was routed through several shell companies floated by Talwar, and used to buy the hotel, which is valued at over Rs 120 crore.
The hotel, however, said on Saturday evening that it was ""fully operational"". Asked for a comment, Parisa Chum, Director Communications, India, Middle East and Africa, InterContinental Hotel Group (IHG), said: ""We not privy to the details of the case so we cannot comment on it. The hotel is fully operational at the moment."" An order of provisional attachment, which is issued by the Director of the ED, has no impact on the ground until it is confirmed by the adjudicating authority. The confirmation has to come within 90 days, following which the owner of the property can be deprived of the use of the property. The adjudicating authority's order can be challenged in the High Court.
Talwar, who was recently deported from the UAE, is under investigation by the CBI and ED for his alleged role as the key middleman in the purchase of 111 aircraft by the erstwhile state-owned domestic carrier Indian Airlines from Airbus and Boeing during the UPA regime.
The CBI and ED have filed four separate FIRs in connection with these purchases, the 2011 merger of Air India with Indian Airlines, and the ceding of profitable routes and timings in favour of foreign airlines that led to massive losses to the national airline.
The ED, which is probing the case based on an FIR registered by the CBI in 2017, has arraigned officials of the Ministry of Civil Aviation, the National Aviation Company of India Limited (NACIL), Air India, and unknown private persons as accused. NACIL was formed to oversee the merger of Air India and Indian Airlines, and was renamed Air India Limited in 2010.
""It has been revealed that accused Deepak Talwar illegally engaged in liaisoning/lobbying with politicians, ministers, other public servants and officials of Ministry of Civil Aviation for airlines such as Emirates, Air Arabia and Qatar Airways for securing undue benefits for them. He illegally managed to secure favourable traffic rights for these airlines during 2008-09 at the cost of National carrier, Air India,"" the ED has said in a statement.
According to the ED, its investigations have revealed that in lieu of securing favourable traffic rights, these airlines made payments to the tune of Rs 272 crore to Talwar during 2008-09.
On February 13, The Indian Express reported that three years after Indian Airlines signed a deal to purchase 43 aircraft from Airbus, the French aircraft manufacturer incorporated a company in partnership with Deepak Talwar, and transferred $10.5 million to its accounts. Talwar's son Aditya is one of the directors of the Singapore-based company.
The payments were made in two tranches of $ 4.5 million and $ 6 million to Auctus Capital PTE Ltd in 2012, three years after the company was incorporated, and almost six years after the deal between Indian Airlines and Airbus was signed.
The ED has claimed that its probe has revealed that Talwar created a web of entities, owned by him and members of his family, in India and offshore havens, to launder the Rs 272 crore received from the foreign airlines.
""Part of these payments were made to a bank account in Bank of Singapore, belonging to a company M/s Asiafield Limited registered in the British Virgin Islands and beneficially owned by Deepak Talwar. These Proceeds of Crime were layered through a series of international money transfers, to finally integrate in India in M/s Wave Hospitality Private Limited, a company beneficially owned and controlled by Deepak Talwar and his family members in the name of his son, Aditya Talwar. These Proceeds of Crime were then utilized in the construction of Hotel Holiday Inn in Aerocity, New Delhi,"" the ED statement said.
Deepak Talwar had fled the country in 2017 to avoid the investigation. However, he was deported by the immigration authority of Dubai on January 31 this year, and was arrested by the ED under The Prevention of Money Laundering Act (PMLA), 2002. He is in judicial custody at present.
Talwar's lawyer Tanvir Ahmed Mir has earlier denied any wrongdoing on the part of his client, and said Talwar had nothing to do with any of the companies mentioned by the ED.
""The ED is indulging in kite-flying. I deny any kind of payment made to Mr Talwar directly or indirectly. Without any confirmation from Airbus obtained through issuance of a letter rogatory, it is sinful to accuse my client and defame him in public domain. Mr Aditya Talwar has no concern with Airbus or any of these deals. He is not a beneficiary.""
Airbus had earlier told The Indian Express: ""We do not comment on any ongoing investigation. We have cooperated with the Indian authorities in the past and will continue to do so.",1
kpmg llp,UPDATE: Former regulator met privately with KPMG while firm was under scrutiny,"PCAOB's Franzel, now an EY adviser, privately coached KPMG on responding to regulator questions about quality
improvement efforts

  A former audit-industry regulator who advises one of the largest firms on audit quality was also one of two board
members willing to meet privately in 2015 and 2016 with KPMG LLP, which was under significant scrutiny by the regulator
because of chronically poor audit inspection results.

  Former Public Company Accounting Oversight Board member Jay Hanson testified in March during the trial of David
Middendorf, the former KPMG National Managing Partner of Audit Quality, that Jeanette Franzel, another board member, was
his companion for pre-board meetings with KPMG beginning in 2015, while the firm was being heavily monitored for its
high number of inspection discrepancies.

  Middendorf was on trial with Jeffrey Wada, a former PCAOB inspector, for using audit inspection data stolen from the
regulator by Wada.

  Hanson, testifying in Middendorf's defense, told the court that sometime after he started with the PCAOB board in
2011, he was approached by a member of leadership of another firm with a request to meet prior to the firm's biannual
scheduled meeting with his board colleagues to share his personal views on what he thought was ""most important to get
out of the meeting.""

  After having several meetings like that with other firms, he made it known to all the firms that he was willing to
talk with them before the meeting, via a phone call or personal meeting, and KPMG decided to take him up on that offer
in 2015.

  Hanson's testimony about Franzel's participation in meetings with KPMG was consistent with that of Middendorf and
Thomas Whittle, the former KPMG national partner-in-charge for inspections, who said Hanson was accompanied to pre-board
meetings with KPMG leadership by another PCAOB board member. He testified that it was general guidance at the regulator
that for meetings between board members and audit firm leadership of any kind, it was advisable to have another board
member or staff representative of the PCAOB accompany the board member.

  Read also: KPMG cheating scandal was much more widespread than originally thought (http://www.marketwatch.com/story/
the-kpmg-cheating-scandal-was-much-more-widespread-than-originally-thought-2019-06-18)

  Franzel said in a statement to MarketWatch, ""My purpose in attending any pre-board meetings with firm personnel was to
convey my personal views and concerns related to the state of audit quality and affirm their commitment to making
improvements to audit quality.""

  Franzel is one of three people appointed to a panel by EY in January (http://www.marketwatch.com/story/former-board-
member-of-audit-regulator-to-join-ey-advisory-board-raising-conflict-questions-2019-02-05), after a one-year cooling off
period for ""practicing"" before the PCAOB expired. The objective of the EY panel is to get an outside perspective on
aspects of its operations, culture or strategy that relate to audit quality. Franzel left the PCAOB in January 2018
shortly before the SEC and Justice Department filed civil and criminal charges against the former KPMG partners and ex-
PCAOB professional for the regulatory data theft.

  A spokesman for EY told MarketWatch, ""We are delighted that Jeanette Franzel is a member of EY's Independent Audit
Quality Committee. Throughout her distinguished career in public service, and as a certified public accountant, Ms.
Franzel has consistently demonstrated the highest levels of professionalism and integrity. Her insights and experience
are of great value to EY as we deliver on our commitment to the highest quality in audits. EY and Ms. Franzel are aware
of the ethical requirements resulting from her role as a former PCAOB Board member, and we are confident of her and our
ongoing compliance with those obligations.""

  The Securities and Exchange Commission fined KPMG $50 million in mid-June for using stolen PCAOB inspection
information to cheat on audit inspections. Five former KPMG officials -- Middendorf, Thomas Whittle, and David Britt,
along with Brian Sweet and Cynthia Holder who came to KPMG from the PCAOB and one former PCAOB official, Wada -- were
charged last year in the case alleging they schemed to interfere with the PCAOB's ability to detect audit quality
violations at KPMG.

  Whittle changed his plea from not guilty to guilty on all five counts last October and agreed to cooperate with the
prosecutors. Whittle, Middendorf and Sweet are all now awaiting sentencing. Cynthia Holder also pleaded guilty and was
sentenced to eight months  (https://www.justice.gov/usao-sdny/pr/former-pcaob-inspections-leader-and-kpmg-executive-
director-sentenced-scheme-steal)in prison last Friday. Former KPMG banking partner David Britt is pending trial.

  See also:KPMG partner Thomas Whittle pleads guilty to criminal charges in theft of regulatory data (http://
www.marketwatch.com/story/kpmg-partner-thomas-whittle-pleads-guilty-to-criminal-charges-in-theft-of-regulatory-data-
2018-10-30)

  To read:Ex-partner at KPMG convicted in 'steal the exam' scheme (http://www.marketwatch.com/story/ex-partner-at-kpmg-
convicted-in-steal-the-exam-scheme-2019-03-11)

  The SEC revealed a much larger scandal at KPMG when it fined the firm in June. KPMG auditors, including some senior
partners in charge of public company audits, cheated on internal tests related to ethics, integrity and compliance
training that had been mandated by a 2017 SEC enforcement action against the firm. In addition, for a period of time up
to November 2015, some audit professionals, including one partner, manipulated the system for their exams to lower the
scores required to pass.

  -Francine McKenna; 415-439-6400; AskNewswires@dowjones.com




  (END) Dow Jones Newswires
  08-13-19 1751ET
  Copyright (c) 2019 Dow Jones & Company, Inc.
",1
partner communications company ltd.,Partner Communications Receives Lawsuit and a Motion for the Recognition of This Lawsuit as a Class Action,"Partner Communications Company Ltd. (NASDAQ:PTNR)  announces that the Company received a lawsuit and a motion for the recognition of this lawsuit as a class action, filed against Partner and against additional telecommunication service companies (together the ""Respondents"") in the Central District Court on April 10, 2019.
In the motion it was allegedly claimed that the Company, as well as the other Respondents, does not inform its customers as required as to the possible dangers of using the Internet and the possibility of joining a free content filtering service offered to its customers, in violation of the provisions of the Israeli Communications Law (Telecommunications and Broadcasting), 1982 (the ""Communications Law"") and its license. In addition it was claimed that the websites and harmful content filtering service that Partner provides, as well as the other Respondents, is not efficient enough, contrary to the provisions of the Communications Law and the Company's license.
The total amount claimed against the Respondents if the lawsuit is recognized as a class action, was not stated by the applicants, however the overall damage assessment noted in the motion for all the Respondents together, is at least tens of millions of NIS.
Partner is reviewing and assessing the lawsuit and is unable at this preliminary stage, to evaluate, with any degree of certainty, the probability of success of the lawsuit or the range of potential exposure, if any.",1
banco santander rio s.a.,Consumer Defense fined banks and financiers nearly $3 million,"The Consumer Protection Directorate made notices with fines and penalties to several banks and credit card issuing companies, finding various infringements under Law 24.240 (Consumer Protection Act).
The fines applied total 2,950,000 pesos, which vary in the amounts according to the type of irregularity claimed by the users and which were evaluated by the administrative and legal units of the Management.
The following are sanctioned entities:
Banco Santander Rio. Violation of Articles 4, 19 and 36 of Law 24.240. One case was that of a user who had different financial products contracted with the bank. She went into arrears with one of the cards she was operating and the bank forced her to refinance all other products and there was a fall in the loans she had up to date. A copy of the contract for the financial products was requested and not accompanied, and the alleged infringements of the Arts were therefore signed. 4 and 36 of Law 24,240.-
Industrial Bank. Violations of Articles 4, 19 and 36 of Law 24.240 for irregularities in the collection of loans granted to the user.
Credishop. Violations of Articles 4, 19 and 36 of Law 24.240 for irregularities in the collection of loans granted to the user.
Banco Itaú. Violations of Articles 4, 19 and 46 of Law 24.240, for irregularities in the procurement of banking products that were allegedly free of charge, and the inclusion in the Veraz system of the user with the damage that this brought to him.
French Bank. For not reporting the status of a user's debt, discriminating against capital, interest and other items. The bank transferred the account to a company or collection studio, without reporting on these instances how the user's debt was composed.
Commercial Industrial Bank Of China. For lack of information and non-compliance with the general conditions of contract: It took more than a year to resolve a claim for an extraction of money abroad whose cashier did not exton such money to the user, when the Credit Card Act foresees that it must solve them in 60 days.
Visa card. For lack of information and non-compliance with the general conditions of contract.
Sanctions collection
The Consumer Protection Directorate also reported that the system of compulsive collection of sanctions was streamlined. Thus, if the sanctioned signatures appeal the decisions, the Procurator Corps of the Province will execute the judgment of the Civil Chamber confirming it, updating the amount of the fines.
In the event that such fines are firm in this administrative body, the files will be turned to Tax Office - Directorate of Revenues of the Province for the collection through the judicial process of such sanctions.
Information and complaints
Facebook: https://www.facebook.com/Defensa-del-Consumidor-CórdobaPhone: 0800-444-5698Email: defensadelconsumidor@cba.gov.arPersonally: Tucumán 176, of the city of Cordoba.Delegations of the interior: http://bit.ly/delegacionesDefensaAdvertising",1
nikon corporation,Certain Semiconductor Lithography Systems and Components Thereof; Notice of Commission Determination Not To Review an Initial Determination Terminating the Investigation in Its Entirety | Certain Semiconductor Lithography Systems and Components Thereof; Notice of Commission Determination Not To Review an Initial Determination Terminating the Investigation in Its Entirety,"Notice.
Citation: ""84 FR 14397""
Document Number: ""Investigation No. 337-TA-1137""
Page Number: ""14397""
""Notices""
Agency: ""U.S. International Trade Commission.""
SUMMARY: Notice is hereby given that the U.S. International Trade Commission (""Commission"") has determined not to review a March 12, 2019 initial determination (""ID"") (Order No. 9) terminating this investigation in its entirety based on a settlement agreement. The investigation is terminated.
   FOR FURTHER INFORMATION CONTACT: Ron Traud, Office of the General Counsel, U.S. International Trade Commission, 500 E Street SW, Washington, DC 20436, telephone (202) 205-3427. Copies of non-confidential documents filed in connection with this investigation are or will be available for inspection during official business hours (8:45 a.m. to 5:15 p.m.) in the Office of the Secretary, U.S. International Trade Commission, 500 E Street SW, Washington, DC 20436, telephone 202-205-2000. General information concerning the Commission may also be obtained by accessing its internet server (https://www.usitc.gov). The public record for this investigation may be viewed on the Commission's electronic docket (EDIS) at https://edis.usitc.gov. Hearing-impaired persons are advised that information on this matter can be obtained by contacting the Commission's TDD terminal at 202-205-1810.
   SUPPLEMENTARY INFORMATION: On October 23, 2018, the Commission instituted this investigation under section 337 of the Tariff Act of 1930, as amended, 19 U.S.C. 1337 (""section 337""), based on a complaint filed by ASML Netherlands B.V. of Veldhoven, the Netherlands, ASML US, L.P. of Chandler, AZ, and ASML US, LLC of Chandler, AZ (collectively, ""ASML""). 83 FR 53498 (Oct. 23, 2018). The complaint alleges a violation of section 337 by reason of infringement of certain claims of U.S. Patent Nos. 7,295,283, 7,403,264, and 9,188,880. The Commission's notice of investigation named as respondents Nikon Corporation of Tokyo, Japan, Nikon Precision Inc. of Belmont, California, and Nikon Research Corporation of America of Belmont, California (collectively, ""Nikon""). Id. The Office of Unfair Import Investigations is not a party in this investigation. Id.
On February 25, 2019, ASML and Nikon jointly moved pursuant to Commission Rule 210.21(b) (19 CFR 201.21(b)) to terminate this investigation in its entirety based on a settlement agreement.
On March 12, 2019, the presiding administrative law judge issued Order No. 9, the subject ID, which grants the motion. The ID finds that the joint motion complies with Commission Rule 210.21(b). The ID additionally finds that terminating the investigation is in the public interest. No petitions for review of the ID were filed.
The Commission has determined not to review the ID. This investigation is terminated.
The authority for the Commission's determination is contained in Section 337 of the Tariff Act of 1930, as amended (19 U.S.C. 1337), and in part 210 of the Commission's Rules of Practice and Procedure (19 CFR part 210).
By order of the Commission.
   Issued: April 4, 2019.
Lisa Barton,
Secretary to the Commission.
[FR Doc. 2019-07046 Filed 4-9-19; 8:45 am]
BILLING CODE 7020-02-P",1
banner life insurance company,"United States Courts Opinions: United States District Court Western District of ILLINOIS : BANNER LIFE INSURANCE ) COMPANY, ) ) Plaintiff, ) ) No. 17 C 7097 v. ) ) Judge Sara L. Ellis DEREK M. SHELTON, and ) GUARDIAN AD LITEM FOR MINOR ) CHILDREN, SMW, CMS, and CS.","Washington: United States District Court Western District ofILLINOIS has issued the following order:
UNITED STATES DISTRICT COURT NORTHERN DISTRICT OF ILLINOIS EASTERNDIVISION BANNER LIFE INSURANCE ) COMPANY, ) ) Plaintiff, ) ) No. 17 C7097 v. ) ) Judge Sara L. Ellis DEREK M. SHELTON, and ) GUARDIAN ADLITEM FOR MINOR ) CHILDREN, SMW, CMS, and CS ) ) Defendants, ) ) OPINIONAND ORDER Derek Shelton moves for summary judgment with respect toBanner Life Insurance Company's (""Banner"") complaint ininterpleader, seeking the payment of Romana Rene Shelton's,Shelton's deceased wife, (""Romana"") life insurance policyas the primary beneficiary. Because the Cook County Sheriff'sPolice Department's (""CCSPD"") investigation is ongoingand the CCSPD has not explicitly ruled Shelton out as a person ofinterest in Romana's homicide, the Court denies Shelton'smotion for summary judgment without prejudice to his right to refile atthe appropriate time. BACKGROUND1 On April 6, 2017, Romana died ofmultiple gunshot wounds in South Holland, Illinois. The medical examinerdetermined that the manner of Romana's death was a homicide. The 1The facts set forth in this section are derived from the statements offact submitted by the parties to the extent they comport with Local Rule56.1. They are taken in the light most favorable to the minor children,the non-movants. The Court has considered the parties' additionalstatements of fact and supporting exhibits and included in thisbackground section only those portions of the statements and responsesthat are appropriately presented, supported, and relevant to resolutionof the pending motion for summary judgment. Case: 1:17-cv-07097 Document#: 57 Filed: 08/13/19 Page 1 of 6 PageID #:
In case of any query regarding this article or other content needsplease contact: editorial@plusmediasolutions.com",1
occidental petroleum corp,Gota buys more time to respond to Ahimsa's complaint [Sri Lanka Sunday Observer],"Sri Lanka, May 12 -- Former Defence Secretary Gotabaya Rajapaksa has petitioned the US District Court of Central California through his lawyers for a further extension to respond charges set out in a civil lawsuit filed by Ahimsa Wickrematunge accusing him of instigating and authorising the murder of her father and founder Editor of The Sunday Leader, Lasantha Wickrematunge.
On April 29, attorney John C. Ulin, a senior partner at the Arnold & Porter Kaye Scholer law firm headquartered in Washington DC, filed an ""unopposed application"" to extend time to respond to the initial complaint filed by Lasantha Wickrematunge's 27 year old daughter.
Gotabaya Rajapaksa's lawyers have proposed a new response date of June 27, 2019, as a deadline to respond to the complaint in their April 29 application to court.
Agreement has been reached between Ahimsa Wickrematunge's legal team to give Rajapaksa, the defendant in the case, a total of 60 days additional time from the original response date to respond to the complaint by the daughter of the slain journalist.
The application has been made in order to give Rajapaksa sufficient time to prepare expert testimony and collect additional evidence necessary to support a motion to dismiss, his lawyers submitted to court in documents seen by Sunday Observer.
In her complaint filed on April 4, Ahimsa Wickrematunge alleged that ""Nandasena Gotabaya Rajapaksa, a United States citizen and Sri Lanka's then Secretary of Defence, instigated and authorised the extra-judicial killing of Lasantha"" and ""had responsibility over those who executed the assassination.""
The case has been filed under the US Torture Victims Protection Act and the Alien Tort Statute, legislation that allows aggrieved persons to file suit in the United States for human rights abuses committed in foreign jurisdictions. The laws stipulate that notice must be served on a defendant while on US soil. Gotabaya Rajapaksa was served notice on April 7, 2019 in the parking lot of the Trader Joe's Supermarket in his hometown of Los Angeles.
The former Defence Secretary's motion to dismiss Ahimsa Wickrematunge's civil lawsuit will be based on forum non conveniens grounds, Gotabaya Rajapaksa's US legal team reveals in the application, referring to a legal doctrine that a court may refuse to hear a case on the basis that a more appropriate forum to hear the case is available to parties.
""A party moving to dismiss on forum non conveniens grounds ""bears the burden of demonstrating an adequate alternative forum, and that the balance of private and public interest factors favors dismissal."" Cariajano v. Occidental Petroleum Corp., 626 F.3d 1137, 1145 (9th Cir. 2010),"" the application by the former Defence Secretary's lawyers states.
""Consequently, Defendant requires the additional time to prepare expert testimony, potentially conduct depositions, and collect other evidence necessary to meet its burden at the motion to dismiss stage. Indeed, motions to dismiss premised on forum non conveniens frequently rely upon sworn declaration and deposition testimony to establish the existence of an adequate alternative forum.""
Since Rajapaksa resides in Sri Lanka, a country in a time zone over 12 hours ahead of California, making coordination and communication between Defendant and his US counsel often slow and time consuming, his lawyers submitted to court.
""This request for additional time will give effect to the agreement of the parties and will allow Defendant time to coordinate with counsel and prepare his response to the Complaint, which will ultimately help this Court adjudicate the matter,"" the application by Gotabaya Rajapaksa's lawyers noted. Published by HT Digital Content Services with permission from Sunday Observer (Sri Lanka). For any query with respect to this article or any other content requirement, please contact Editor at contentservices@htlive.com",1
patisserie holdings plc,"Five arrested over alleged fraud at Solihull-based Patisserie Valerie [Governance, Risk & Compliance Monitor Worldwide]","FIVE people have been arrested over alleged accounting fraud at the Solihull-based Patisserie Valerie chain, the Serious Fraud Office has said.
The arrests took place last Tuesday, June 18, in a joint operation with police, the SFO said.
It comes eight months after the firms former finance director, Chris Marsh, was arrested and has been released on bail.
Patisserie Valerie owned by Hall Green-based Patisserie Holdings plc with its headqaurters on Sarehole Road went into administration in January and was bought for 5million by Causeway Capital.
It was put up for sale after collapsing following the discovery of allegedly fraudulent activity in its accounts.
Around 70 cafes closed across the country including Druckers in Touchwood Shopping Centre in January.
The move resulted in some 920 redundancies across the country.
An SFO spokesperson, who did not say who had been arrested or what they were detained for, said: On Tuesday, June 18, as part of a joint operation with Hertfordshire, Leicestershire and the Metropolitan Police Services, five individuals were arrested and interviewed in connection with the Serious Fraud Office investigation into individuals associated with Patisserie Holdings PLC.",1
